Datetime,username,tweets,emotions
30/3/2021,Nikonik09218573,hari ni hari pertama aku akan di kuarantin sebab aku  positif  covid  tapi korang nmpk x gmbr yg aku ltk emoji tu amoi cina tu bagi duit kat pakcik melanau  dorang x kenal pun  tp sbb kemanusiaan sanggup bkongsi rezeki  mak pakcik tu agaknya sakit  yang tunduk kat kerusi tu ,anger
21/2/2021,nshahrizal,alhamdullilah st swab ve tunggu turn nd swab hari ke  doakan kmkorg sekeluarga day segehmayis kitajagakita biuk makcikbawangjangankecam   rh  hotel  sibu  sarawak ,happy
19/2/2021,LazarusAdam96,life before  covid   i miss the bois ,anger
17/2/2021,Amenjahhh,covid,anger
17/2/2021,Amenjahhh,after all  i dont expect perfection in every childs learning bcz covid really affected every single one of us and teachers are doing their best already i still pray for the best for each one of us  take care peeps,sadness
15/2/2021,cafeberts,good  morning   eat well yeahjagajarak jaga sop malaysia selangor shahalam covid   malaysia ,anger
2/2/2021,ShamsuriIbnuhu1,moga  allah lindungi kita semua drp wabak  covid   malaysia ,anger
2/2/2021,ZakariaAriffin7,kopi  lemon  banteras covidkopitenang kopitenangmalaysia kopiisgood kopitenangmurah marleycoffee lemoncoffee staysafe stayhome  pm tepi z  banterascovid covid   malaysia ,anger
30/1/2021,endangada,saringan  covid  besar besaran  di  sibujaya  ahad ini sibu  kementerian  kesihatan  malaysia  kkm akan melakukan ujian saringan  covid secara besarbesaran di  sibu  jaya pada  ahad ini   januari  setelah kes  covid turut dikesan di kawasan tersebut iaitu  kes,anger
29/1/2021,fazli_gnola,nombor keramat bagi kami  tapi angka ini masih tidak menjadi ketakutan masyarakat di luar sanacovid pkpmcmxpkpjerkamidahpenat   malaysia ,fear
29/1/2021,ShamsuriIbnuhu1,moga  allah lindungi kita semua drp  covid   malaysia ,anger
23/1/2021,soonkv,morning walk into nd week of rd waves covid lockdown mco malaysia movementcontrolorder covid staysafe   malaysia ,anger
17/1/2021,EtiHolidays,etiholidays hcgmice  post covid  stayingsafe will luxury still keep attract  chinese consumers keep consider and moving future  millennials  chinaexplore discover   malaysia ,sadness
17/1/2021,EtiHolidays,mcomalaysia takeaway foohingdimsum open only from am till pm covid make everybody unable out for dining stayhome staysafe keephealthy together safelife ,anger
16/1/2021,arikadaniarmrtn,ga kok santai aman,anger
15/1/2021,nshahrizal,drive thru covid testing   pustaka  negeri  sarawak  sibu ,anger
14/1/2021,raffafax,mereputlah lah menanti covid habis,anger
13/1/2021,aidakhoaida,suka tak suka kita perlu harunginya juga doayangbaik pkpb kita jaga kita sumenubayco aida   sibu  sarawak ,anger
12/1/2021,mesekknyawai,can someone please explain whats actually the viral renga buah in  iban language actually in medical term  hay fever  rhinitis common cold or just an alternative name for the  covid virus  sarawak,anger
12/1/2021,arikadaniarmrtn,jawa  bali  psbb suk wae yen wis ilang  covid e,anger
11/1/2021,EtiHolidays,etiholidays hcgmice  before  covid stayingsafe positiverecoveryplan   malaysia ,anger
9/1/2021,mesekknyawai,suba madah bisi ubat bisi pengaruh bisi empelias bisi engkerabun ngicha ke enda dipeda  covid ku kita  iban bejalai kin kia enda ngena mask nama dirara lalu ngerigang diri ka ngiga dengahdiatu nama penyadi deh,anger
9/1/2021,Veronic99351085,go to work go back home  i dont know why  when here some informations about case pandemic of  covid  there has  case in  sibuu  omg  always pray  redzone ,sadness
